"ID","Title","Column","OwnerRole","Deliverable","PlanLink","Notes"
"ST-B-001","Investigate WLLS snapshot/materialize regression","In Progress","Ingestion/Performance","DeviceRepository now hydrates shared cache snapshots automatically. 2025-11-28 pipeline + incremental checklist refreshed telemetry (SnapshotImported=3, InitNewStore=15, InitReuseStore=6, GetMiss=50/GetHit=24); WLLS AccessCacheHit=5/AccessRefresh=0; BOYO providers still Unknown; queue delay summary skipped (0 samples); PortBatchReady remains synthetic/minimal (1 sw1 batch) after dispatcher sweep (Logs/DispatchHarness/RoutingQueueSweep-checklist-20251128-095600.json). 2025-12-17: TelemetryModule now batches telemetry writes (flush-on ParseDuration/SkippedDuplicate) and ParserPersistenceModule reuses shared-cache entries to avoid redundant GetHit calls; Quick mock BOYO/WLLS pipeline now ~7s wall time with ParseDuration ~2.4s/0.35s and DatabaseWriteLatency ~290ms/99ms. 2025-12-20: Warm regression attempt failed the port batch diversity guard (WLLS streak 19 > limit 8); warm pass aborted. Artifacts: Logs/Reports/PortBatchSiteDiversity-2025-12-20.json, Logs/Reports/PortBatchReady-2025-12-20.json, Logs/Reports/InterfaceSyncTiming-2025-12-20.json. 2025-12-20: Warm regression rerun with -SkipPortDiversityGuard completed the cold pass but failed in Invoke-WarmRunTelemetry.ps1 (Collect-TelemetryForPass missing Count property); warm pass aborted and no WarmRunTelemetry emitted. Artifacts: Logs/Reports/PortBatchReady-2025-12-20.json, Logs/Reports/InterfaceSyncTiming-2025-12-20.json, Logs/Reports/ParserSchedulerLaunch-2025-12-20.json. 2025-12-21: Warm regression rerun with -SkipPortDiversityGuard completed cold+warm passes but failed warm-run validation (157 hosts without SiteCacheProvider=Cache; 37 hosts without HostMapSignatureMatchCount; rewrote 1,440 cached host entries). No WarmRunTelemetry emitted; queue delay summary missing (0 samples). Artifacts: Logs/IngestionMetrics/2025-12-21.json, Logs/Reports/PortBatchReady-2025-12-21.json, Logs/Reports/InterfaceSyncTiming-2025-12-21.json, Logs/Reports/ParserSchedulerLaunch-2025-12-21.json, Logs/SharedCacheSnapshot/SharedCacheSnapshot-20251221-070128.clixml. 2025-12-20: Warm regression rerun after telemetry fixes completed warm pass but failed warm-run validation (missing DatabaseWriteBreakdown/InterfaceSyncTiming; 37 hosts without SiteCacheProvider=Cache; 1 host missing HostMapSignatureMatchCount; rewrote 168 cached host entries). No WarmRunTelemetry emitted. Artifacts: Logs/Reports/PortBatchReady-2025-12-20.json, Logs/Reports/InterfaceSyncTiming-2025-12-20.json, Logs/Reports/ParserSchedulerLaunch-2025-12-20.json, Logs/IngestionMetrics/QueueDelaySummary-2025-12-20.json, Logs/SharedCacheSnapshot/SharedCacheSnapshot-20251220-230155.clixml, Logs/SharedCacheSnapshot/SharedCacheSnapshot-20251220-230430.clixml. 2025-12-20: Expanded mock corpus (routing host list clones) + interface dispatch harness flushed queue metrics; queue delay summary now passes (SampleCount=8, QueueBuildDelay p95=12.43 ms / p99=16.65 ms). PortBatchReady report reflects 35 hosts; updated snapshot Logs/SharedCacheSnapshot/SharedCacheSnapshot-20251220-144919.clixml and queue summary Logs/IngestionMetrics/QueueDelaySummary-2025-12-20.json. 2025-12-20: Site-cache materialization skips template lookup when PortColor/ConfigStatus already set; diag pipeline on BOYO/WLLS logs SnapshotImported=4, GetMiss=96/GetHit=2 (Logs/IngestionMetrics/2025-12-20.json, Logs/SharedCacheSnapshot/SharedCacheSnapshot-20251220-135800.clixml).","docs/plans/PlanB_Performance.md","Next: analyze warm pass cache misses (157 non-Cache, 37 signature misses) and rerun warm regression with -SkipWarmValidation to export WarmRunTelemetry; run provider-reason diagnostics against Logs/IngestionMetrics/2025-12-21.json."
"ST-B-002","Trial reduced auto-scale ceilings post-batching","Done - 2025-12-22","Ingestion","2025-12-22 pipeline run with overrides (MaxWorkersPerSite=1, MaxActiveSites=1) captured ParseDuration/DatabaseWriteLatency metrics and concurrency profile; recommendation logged.","docs/plans/PlanB_Performance.md","Command: Tools\\Invoke-StateTracePipeline.ps1 -SkipTests -VerboseParsing -ResetExtractedLogs -MaxWorkersPerSiteOverride 1 -MaxActiveSitesOverride 1; ParseDuration p95 1.176s (avg 0.914s, max 3.414s); DatabaseWriteLatency p95 1009.8ms (avg 743.6ms, max 1255ms); ConcurrencyProfileResolved ResolvedMaxWorkersPerSite=1 ResolvedMaxActiveSites=1 ResolvedThreadCeiling=8 ResolvedJobsPerThread=4 ManualOverrides=True; Pool MaxThreads=1. Recommendation: keep defaults (write latency p95 exceeds 950ms cold gate). Artifacts: Logs/IngestionMetrics/2025-12-22.json, Logs/Reports/ParserSchedulerLaunch-2025-12-22.json, Logs/Reports/PortBatchReady-2025-12-22.json, Logs/Reports/InterfaceSyncTiming-2025-12-22.json."
"ST-B-003","Codify concurrency overrides","Done - 2025-12-22","Automation","2025-12-22: Added concurrency override guard and pipeline telemetry logging; runbook mapping updated.","docs/plans/PlanB_Performance.md","Tools/ConcurrencyOverrideGuard.psm1 resets non-baseline concurrency settings in Data/StateTraceSettings.json after pipeline runs; pipeline logs ConcurrencyOverrideSummary telemetry; Modules/Tests/ConcurrencyOverrideGuard.Tests.ps1 added; docs/CODEX_RUNBOOK.md updated with override→metric mapping."
"ST-A-001","Verify InterfaceSync timing completeness","Done - 2025-11-14","Ingestion/Routing","Telemetry completeness verified on 2025-11-14 (PortBatchReady=128, InterfaceSync=384, ParserSchedulerLaunch=86 / scheduler guard MaxObservedStreak=1) with analyzer JSON + history CSVs (`Logs/Reports/PortBatchReady-2025-11-14.json`, `Logs/Reports/InterfaceSyncTiming-2025-11-14.json`, `Logs/Reports/ParserSchedulerLaunch-2025-11-14.json`, `Logs/Reports/*History.csv`).","docs/plans/PlanA_RoutingReliability.md","Bundle cites `Logs/IngestionMetrics/2025-11-14.json` + `Logs/IngestionMetrics/QueueDelaySummary-20251114.json` and history CSV entries."
"ST-D-002","SPAN view investigation follow-up","Done - 2025-11-12","UI","Doc updates linking Tools/Invoke-SpanViewSmokeTest.ps1 + Get-SpanViewSnapshot so SPAN harness is repeatable.","docs/plans/PlanD_FeatureExpansion.md","See docs/README.md and docs/CODEX_RUNBOOK.md rows."
"ST-D-001","Document incremental loading UX metrics","Done - 2025-11-12","Docs","Operators runbook + Codex runbook updated with telemetry capture instructions.","docs/plans/PlanD_FeatureExpansion.md","Reference docs/StateTrace_Operators_Runbook.md and docs/CODEX_RUNBOOK.md."
"ST-D-003","Incremental loading telemetry sweep","Done - 2025-11-14","UI + Ingestion","2025-11-14 telemetry bundle carries PortBatchReady-2025-11-14.json + analyzer outputs and ParserSchedulerLaunch-2025-11-14.json now reports MaxObservedStreak=1 after the guard/analyzer updates.","docs/plans/PlanD_FeatureExpansion.md","Fairness evidence: Logs/Reports/ParserSchedulerLaunch-2025-11-14.json + history CSVs."
"ST-D-010","Investigate WLLS->BOYO idle gap","In Progress","UI + Scheduler","Site-pair, timeline, site-mix, sweep-order, diversity guard, scheduler-vs-port outputs, and the new balanced Hostname dropdown (`DeviceCatalogModule\Get-DeviceSummaries` now rotates sites) prove the parser guard stays at streak 1 while PortBatchReady still shows 25 WLLS events; next step: scrape dispatcher harness timelines / scheduler overrides and trial the balanced host list (Tools/New-BalancedRoutingHostList.ps1 -> Data/RoutingHosts_Balanced.txt).","docs/plans/PlanD_FeatureExpansion.md","Bundle queue sweep logs + scheduler notes before closing."
"ST-E-002","Automate metric rollup schedule","Done - 2025-11-12","Telemetry","Tools/Invoke-DailyMetricRollup.ps1 plus README/runbook guidance for daily summaries.","docs/plans/PlanE_Telemetry.md","Outputs timestamped IngestionMetricsSummary-<timestamp>.csv files."
"ST-G-003","Codex plan automation matrix","Done - 2025-11-12","Docs/Governance","Created docs/CODEX_PLAN_AUTOMATION_MATRIX.md and added cross-links so agents know which scripts/telemetry/doc touchpoints apply per plan.","docs/plans/PlanG_ReleaseGovernance.md","Mentioned in README + instruction stack."
